iter	Passed	Remaining
0	137	54929
1	216	43033
2	241	31945
3	267	26507
4	308	24342
5	322	21196
6	343	19304
7	378	18564
8	414	18012
9	439	17152
10	453	16032
11	463	15000
12	482	14359
13	509	14037
14	530	13619
15	557	13371
16	614	13852
17	676	14363
18	717	14392
19	760	14456
20	788	14227
21	807	13877
22	819	13426
23	828	12985
24	842	12631
25	847	12193
26	864	11938
27	890	11830
28	913	11681
29	940	11602
30	963	11471
31	982	11293
32	998	11107
33	1027	11064
34	1058	11038
35	1077	10892
36	1092	10718
37	1107	10549
38	1119	10365
39	1146	10319
40	1176	10300
41	1205	10278
42	1230	10217
43	1251	10127
44	1266	9989
45	1281	9861
46	1300	9766
47	1317	9662
48	1343	9624
49	1362	9534
50	1385	9482
51	1404	9398
52	1442	9446
53	1468	9412
54	1495	9378
55	1525	9373
56	1557	9374
57	1606	9474
58	1642	9491
59	1654	9375
60	1674	9306
61	1680	9160
62	1700	9098
63	1713	8994
64	1738	8960
65	1773	8973
66	1832	9109
67	1872	9140
68	1918	9204
69	1947	9182
70	1952	9047
71	1967	8963
72	1976	8852
73	1989	8763
74	2000	8667
75	2009	8566
76	2026	8499
77	2034	8398
78	2049	8329
79	2065	8262
80	2092	8239
81	2121	8228
82	2151	8216
83	2185	8221
84	2200	8155
85	2220	8106
86	2243	8071
87	2262	8022
88	2291	8008
89	2328	8020
90	2356	8000
91	2365	7917
92	2388	7885
93	2427	7900
94	2449	7864
95	2476	7841
96	2527	7895
97	2578	7945
98	2591	7878
99	2608	7825
100	2630	7786
101	2658	7767
102	2685	7742
103	2710	7713
104	2722	7649
105	2729	7570
106	2750	7532
107	2767	7481
108	2772	7402
109	2792	7362
110	2804	7301
111	2826	7266
112	2841	7216
113	2860	7176
114	2870	7113
115	2884	7061
116	2891	6993
117	2909	6952
118	2938	6938
119	2960	6908
120	2980	6872
121	2990	6814
122	3006	6770
123	3030	6745
124	3062	6737
125	3084	6708
126	3117	6702
127	3143	6679
128	3167	6654
129	3189	6624
130	3203	6578
131	3221	6541
132	3240	6506
133	3252	6455
134	3271	6422
135	3285	6377
136	3291	6318
137	3309	6283
138	3320	6234
139	3333	6190
140	3342	6139
141	3364	6113
142	3382	6079
143	3392	6031
144	3408	5995
145	3423	5956
146	3435	5913
147	3459	5890
148	3495	5889
149	3529	5882
150	3569	5886
151	3598	5871
152	3647	5889
153	3667	5858
154	3689	5831
155	3713	5807
156	3744	5794
157	3764	5766
158	3800	5760
159	3814	5721
160	3849	5714
161	3864	5677
162	3872	5630
163	3894	5604
164	3903	5559
165	3916	5520
166	3938	5495
167	3964	5474
168	3997	5464
169	4021	5440
170	4049	5423
171	4073	5400
172	4089	5365
173	4111	5340
174	4148	5334
175	4166	5302
176	4194	5284
177	4240	5288
178	4264	5265
179	4268	5217
180	4299	5201
181	4322	5177
182	4342	5149
183	4360	5118
184	4385	5097
185	4408	5071
186	4430	5045
187	4438	5004
188	4463	4982
189	4476	4947
190	4494	4918
191	4516	4893
192	4549	4879
193	4566	4849
194	4592	4827
195	4610	4798
196	4646	4788
197	4658	4752
198	4707	4754
199	4774	4774
200	4822	4774
201	4848	4752
202	4861	4717
203	4875	4684
204	4905	4666
205	4937	4649
206	4967	4631
207	4999	4615
208	5023	4590
209	5067	4584
210	5103	4571
211	5138	4556
212	5176	4544
213	5202	4521
214	5226	4496
215	5266	4486
216	5295	4465
217	5326	4446
218	5369	4437
219	5419	4434
220	5444	4409
221	5465	4382
222	5483	4352
223	5502	4323
224	5538	4307
225	5560	4280
226	5564	4240
227	5575	4205
228	5580	4167
229	5584	4127
230	5603	4099
231	5626	4074
232	5632	4037
233	5643	4003
234	5653	3969
235	5657	3931
236	5680	3906
237	5693	3875
238	5700	3839
239	5706	3804
240	5715	3770
241	5757	3758
242	5786	3738
243	5807	3713
244	5833	3690
245	5854	3665
246	5881	3643
247	5919	3628
248	5947	3606
249	5975	3585
250	5990	3556
251	6007	3528
252	6012	3493
